date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:37:08	182/182	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2007%20Mar%202021%2023:37:07%20GMT	https://www.tutorialesprogramacionya.com/robots.txt		(from )
00:37:10	6994/6994	---M-Z	200	added ('OK')	text/html	date:Sun,%2007%20Mar%202021%2023:37:10%20GMT	https://www.tutorialesprogramacionya.com/angularya/	C:/Users/manue/OneDrive/Escritorio/Angular%20Ya/Angular/www.tutorialesprogramacionya.com/angularya/index.html	(from )
00:37:11	1354/1354	---M--	200	added ('OK')	text/css	date:Sun,%2025%20Mar%202018%2022:51:07%20GMT	https://www.tutorialesprogramacionya.com/angularya/estilos.css	C:/Users/manue/OneDrive/Escritorio/Angular%20Ya/Angular/www.tutorialesprogramacionya.com/angularya/estilos.css	(from https://www.tutorialesprogramacionya.com/angularya/)
00:37:11	109518/109518	---M--	200	added ('OK')	text/css	date:Sun,%2030%20Dec%202018%2015:48:30%20GMT	https://www.tutorialesprogramacionya.com/css/bootstrap.min.css	C:/Users/manue/OneDrive/Escritorio/Angular%20Ya/Angular/www.tutorialesprogramacionya.com/css/bootstrap.min.css	(from https://www.tutorialesprogramacionya.com/angularya/)
00:37:11	47332/47332	---MC-	200	added ('OK')	text/javascript	date:Fri,%2005%20Feb%202021%2021:33:27%20GMT	https://www.google-analytics.com/analytics.js	C:/Users/manue/OneDrive/Escritorio/Angular%20Ya/Angular/www.google-analytics.com/analytics.js	(from https://www.tutorialesprogramacionya.com/angularya/)
00:37:17	143748/143748	---MC-	200	added ('OK')	text/javascript	date:Sun,%2007%20Mar%202021%2023:37:11%20GMT	http://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	C:/Users/manue/OneDrive/Escritorio/Angular%20Ya/Angular/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://www.tutorialesprogramacionya.com/angularya/)
00:37:17	5636/5636	---M-Z	200	added ('OK')	text/html	date:Sun,%2007%20Mar%202021%2023:37:13%20GMT	https://www.tutorialesprogramacionya.com/angularya/detalleconcepto.php?punto=1&codigo=1&inicio=0	C:/Users/manue/OneDrive/Escritorio/Angular%20Ya/Angular/www.tutorialesprogramacionya.com/angularya/detalleconcepto0ec9.html	(from https://www.tutorialesprogramacionya.com/angularya/)
00:37:18	6800/6800	---M-Z	200	added ('OK')	text/html	date:Sun,%2007%20Mar%202021%2023:37:18%20GMT	https://www.tutorialesprogramacionya.com/angularya/detalleconcepto.php?punto=2&codigo=2&inicio=0	C:/Users/manue/OneDrive/Escritorio/Angular%20Ya/Angular/www.tutorialesprogramacionya.com/angularya/detalleconcepto3ad5.html	(from https://www.tutorialesprogramacionya.com/angularya/)
00:37:18	37046/37046	---M-Z	200	added ('OK')	text/html	date:Sun,%2007%20Mar%202021%2023:37:18%20GMT	https://www.tutorialesprogramacionya.com/angularya/detalleconcepto.php?punto=3&codigo=3&inicio=0	C:/Users/manue/OneDrive/Escritorio/Angular%20Ya/Angular/www.tutorialesprogramacionya.com/angularya/detalleconcepto2ac2.html	(from https://www.tutorialesprogramacionya.com/angularya/)
00:37:18	8076/8076	---M-Z	200	added ('OK')	text/html	date:Sun,%2007%20Mar%202021%2023:37:18%20GMT	https://www.tutorialesprogramacionya.com/angularya/detalleconcepto.php?punto=4&codigo=4&inicio=0	C:/Users/manue/OneDrive/Escritorio/Angular%20Ya/Angular/www.tutorialesprogramacionya.com/angularya/detalleconceptobb8b.html	(from https://www.tutorialesprogramacionya.com/angularya/)
00:37:19	6758/6758	---M-Z	200	added ('OK')	text/html	date:Sun,%2007%20Mar%202021%2023:37:19%20GMT	https://www.tutorialesprogramacionya.com/angularya/detalleconcepto.php?punto=5&codigo=5&inicio=0	C:/Users/manue/OneDrive/Escritorio/Angular%20Ya/Angular/www.tutorialesprogramacionya.com/angularya/detalleconcepto928a.html	(from https://www.tutorialesprogramacionya.com/angularya/)
00:37:19	6568/6568	---M-Z	200	added ('OK')	text/html	date:Sun,%2007%20Mar%202021%2023:37:19%20GMT	https://www.tutorialesprogramacionya.com/angularya/detalleconcepto.php?punto=6&codigo=6&inicio=0	C:/Users/manue/OneDrive/Escritorio/Angular%20Ya/Angular/www.tutorialesprogramacionya.com/angularya/detalleconcepto8da3.html	(from https://www.tutorialesprogramacionya.com/angularya/)
00:37:20	18168/18168	---M-Z	200	added ('OK')	text/html	date:Sun,%2007%20Mar%202021%2023:37:20%20GMT	https://www.tutorialesprogramacionya.com/angularya/detalleconcepto.php?punto=7&codigo=7&inicio=0	C:/Users/manue/OneDrive/Escritorio/Angular%20Ya/Angular/www.tutorialesprogramacionya.com/angularya/detalleconcepto28e5.html	(from https://www.tutorialesprogramacionya.com/angularya/)
00:37:20	9777/9777	---M-Z	200	added ('OK')	text/html	date:Sun,%2007%20Mar%202021%2023:37:20%20GMT	https://www.tutorialesprogramacionya.com/angularya/detalleconcepto.php?punto=8&codigo=8&inicio=0	C:/Users/manue/OneDrive/Escritorio/Angular%20Ya/Angular/www.tutorialesprogramacionya.com/angularya/detalleconcepto2637.html	(from https://www.tutorialesprogramacionya.com/angularya/)
00:37:20	11839/11839	---M-Z	200	added ('OK')	text/html	date:Sun,%2007%20Mar%202021%2023:37:20%20GMT	https://www.tutorialesprogramacionya.com/angularya/detalleconcepto.php?punto=9&codigo=9&inicio=0	C:/Users/manue/OneDrive/Escritorio/Angular%20Ya/Angular/www.tutorialesprogramacionya.com/angularya/detalleconcepto9c17.html	(from https://www.tutorialesprogramacionya.com/angularya/)
00:37:21	9038/9038	---M-Z	200	added ('OK')	text/html	date:Sun,%2007%20Mar%202021%2023:37:21%20GMT	https://www.tutorialesprogramacionya.com/angularya/detalleconcepto.php?punto=10&codigo=10&inicio=0	C:/Users/manue/OneDrive/Escritorio/Angular%20Ya/Angular/www.tutorialesprogramacionya.com/angularya/detalleconcepto8b10.html	(from https://www.tutorialesprogramacionya.com/angularya/)
00:37:21	9646/9646	---M-Z	200	added ('OK')	text/html	date:Sun,%2007%20Mar%202021%2023:37:21%20GMT	https://www.tutorialesprogramacionya.com/angularya/detalleconcepto.php?punto=11&codigo=11&inicio=0	C:/Users/manue/OneDrive/Escritorio/Angular%20Ya/Angular/www.tutorialesprogramacionya.com/angularya/detalleconcepto476b.html	(from https://www.tutorialesprogramacionya.com/angularya/)
00:37:21	9379/9379	---M-Z	200	added ('OK')	text/html	date:Sun,%2007%20Mar%202021%2023:37:21%20GMT	https://www.tutorialesprogramacionya.com/angularya/detalleconcepto.php?punto=12&codigo=12&inicio=0	C:/Users/manue/OneDrive/Escritorio/Angular%20Ya/Angular/www.tutorialesprogramacionya.com/angularya/detalleconcepto0c30.html	(from https://www.tutorialesprogramacionya.com/angularya/)
00:37:22	8079/8079	---M-Z	200	added ('OK')	text/html	date:Sun,%2007%20Mar%202021%2023:37:22%20GMT	https://www.tutorialesprogramacionya.com/angularya/detalleconcepto.php?punto=13&codigo=13&inicio=0	C:/Users/manue/OneDrive/Escritorio/Angular%20Ya/Angular/www.tutorialesprogramacionya.com/angularya/detalleconcepto2cf8.html	(from https://www.tutorialesprogramacionya.com/angularya/)
